id_factura,rut_cliente,razon_social,segmento,region,ejecutivo,prioridad_cobranza,fecha_emision,fecha_vencimiento,fecha_pago,dias_credito,monto_neto,monto_total,tasa_morosidad_cartera,estado_cobranza,monto_gestion_cobranza,dias_atraso
F-0239,66.516.501-9,Distribuidora Araucanía,corporativo,Biobío,C. Peña,baja,2025-12-30,2026-01-29,2026-02-09,30,305000,362950,"3,9",pagada con atraso,6100,11
F-0251,74.867.501-9,Transportes Cordillera,pyme,Metropolitana,M. Fuentes,baja,2025-01-30,2025-03-31,2025-03-31,60,470000,559300,"5,5",pagada al día,0,0
F-0197,73.947.308-K,Transportes Central,pyme,Metropolitana,P. Vergara,baja,2025-06-26,2025-07-26,2025-08-13,30,426000,506940,"4,2",pagada con atraso,8520,18
F-0395,74.349.497-0,Distribuidora del Sur,pyme,Biobío,C. Peña,baja,2025-08-24,2025-10-23,2025-11-07,60,1612000,1918280,"6,1",pagada con atraso,32240,15
F-0291,70.529.542-5,Comercial del Sur,corporativo,Antofagasta,J. Salas,baja,2025-10-11,2025-11-10,2025-11-10,30,153000,182070,"3,5",pagada al día,0,0
F-0321,68.913.734-2,Comercial Norte Grande,pyme,Los Lagos,J. Salas,media,2025-09-21,2025-10-21,2025-10-21,30,425000,505750,"3,1",pagada al día,0,0
F-0548,62.562.264-6,Servicios Aconcagua,pyme,Metropolitana,A. Rojas,media,2025-10-05,2025-11-04,2025-11-04,30,644000,766360,"3,5",pagada al día,0,0
F-0526,75.222.742-K,Servicios Cordillera,pyme,Metropolitana,M. Fuentes,media,2025-08-14,2025-09-13,2025-09-18,30,313000,372470,"6,1",pagada con atraso,6260,5
F-0011,73.558.357-3,Distribuidora Pacífico,gobierno,Biobío,A. Rojas,alta,2025-06-14,2025-07-14,2025-08-10,30,1001000,1191190,"4,2",pagada con atraso,20020,27
F-0003,76.455.187-7,Ingeniería Aconcagua,pyme,Valparaíso,M. Fuentes,baja,2025-07-21,2025-08-20,2025-09-09,30,554000,659260,"6,6",pagada con atraso,11080,20
F-0193,65.535.181-7,Transportes Pacífico,gobierno,Metropolitana,P. Vergara,media,2025-09-29,2025-10-29,2025-11-21,30,1067000,1269730,"3,1",pagada con atraso,21340,23
F-0228,77.757.755-7,Comercial del Sur,pyme,Biobío,C. Peña,baja,2025-11-07,2026-02-05,2026-02-27,90,835000,993650,"5,7",pagada con atraso,16700,22
F-0430,73.660.964-9,Ingeniería Pacífico,corporativo,Metropolitana,C. Peña,alta,2025-09-20,2025-10-20,2025-10-20,30,2960000,3522400,"3,1",pagada al día,0,0
F-0177,69.007.690-K,Distribuidora Pacífico,corporativo,Metropolitana,J. Salas,media,2025-07-21,2025-08-20,2025-09-02,30,465000,553350,"6,6",pagada con atraso,9300,13
F-0132,70.264.498-4,Transportes Aconcagua,pyme,Antofagasta,A. Rojas,baja,2025-01-16,2025-03-17,2025-04-06,60,1715000,2040850,"5,5",pagada con atraso,34300,20
F-0384,60.876.074-1,Transportes del Sur,pyme,Valparaíso,M. Fuentes,baja,2025-03-15,2025-04-14,2025-04-25,30,599000,712810,"5,7",pagada con atraso,11980,11
F-0473,68.777.534-1,Transportes Pacífico,gobierno,Metropolitana,P. Vergara,media,2025-05-07,2025-06-06,2025-07-05,30,785000,934150,"5,9",pagada con atraso,15700,29
F-0164,60.876.074-1,Transportes del Sur,pyme,Valparaíso,M. Fuentes,baja,2025-02-11,2025-03-13,2025-03-24,30,1658000,1973020,"2,7",pagada con atraso,33160,11
F-0300,68.868.260-6,Comercial Andes,gobierno,Metropolitana,P. Vergara,baja,2025-12-29,2026-03-29,2026-05-17,90,543000,646170,"3,9",en gestión judicial,10860,49
F-0261,78.535.246-7,Constructora Aconcagua,corporativo,Metropolitana,C. Peña,baja,2025-04-19,2025-05-19,2025-05-30,30,1211000,1441090,"6,2",pagada con atraso,24220,11
F-0105,63.304.574-7,Transportes Central,pyme,Metropolitana,J. Salas,alta,2025-04-05,2025-05-05,2025-05-12,30,762000,906780,"6,2",pagada con atraso,15240,7
F-0211,73.947.308-K,Transportes Central,pyme,Metropolitana,M. Fuentes,media,2025-02-03,2025-03-05,2025-01-28,30,617000,734230,"2,7",pagada al día,0,0
F-0078,61.842.713-7,Distribuidora Central,pyme,Metropolitana,C. Peña,media,2025-08-27,2025-09-26,2025-09-26,30,789000,938910,"6,1",pagada al día,0,0
F-0378,63.892.768-3,Comercial Pacífico,pyme,Biobío,C. Peña,media,2025-02-25,2025-03-27,2025-04-14,30,927000,1103130,"2,7",pagada con atraso,18540,18
F-0545,74.010.432-2,Ingeniería Aconcagua,corporativo,Valparaíso,M. Fuentes,media,2025-11-02,2026-01-01,2026-01-01,60,523000,622370,"5,7",pagada al día,0,0
F-0425,63.650.981-7,Comercial Central,pyme,Metropolitana,C. Peña,baja,2025-03-19,2025-06-17,2025-06-30,90,496000,590240,"5,7",pagada con atraso,9920,13
F-0594,73.660.964-9,Ingeniería Pacífico,corporativo,Metropolitana,C. Peña,baja,2025-10-11,2025-11-10,2025-11-18,30,766000,911540,"3,5",pagada con atraso,15320,8
F-0205,74.010.432-2,Ingeniería Aconcagua,corporativo,Valparaíso,M. Fuentes,baja,2025-08-09,2025-09-08,2025-09-08,30,1537000,1829030,"6,1",pagada al día,0,0
F-0362,61.276.342-9,Ingeniería Norte Grande,pyme,Los Lagos,C. Peña,baja,2025-01-06,2025-02-05,2025-02-19,30,1918000,2282420,"5,5",pagada con atraso,38360,14
F-0031,75.567.645-4,Ingeniería Araucanía,pyme,Metropolitana,M. Fuentes,baja,2025-01-23,2025-03-24,2025-03-24,60,204000,242760,"5,5",pagada al día,0,0
F-0568,61.718.906-2,Constructora del Sur,corporativo,Metropolitana,A. Rojas,baja,2025-06-01,2025-07-01,2025-07-01,30,465000,553350,"4,2",pagada al día,0,0
F-0451,75.721.234-K,Servicios Norte Grande,corporativo,Antofagasta,P. Vergara,media,2025-05-05,2025-07-04,2025-07-05,60,553000,658070,"5,9",pagada con atraso,11060,1
F-0381,68.048.265-9,Distribuidora Andes,pyme,Antofagasta,C. Peña,baja,2025-04-08,2025-05-08,2025-05-08,30,435000,517650,"6,2",pagada al día,0,0
F-0356,68.777.534-1,Transportes Pacífico,gobierno,Metropolitana,P. Vergara,baja,2025-12-25,2026-02-23,2026-03-09,60,167000,198730,"3,9",pagada con atraso,3340,14
F-0102,77.165.787-7,Distribuidora Pacífico,corporativo,Metropolitana,P. Vergara,baja,2025-12-30,2026-02-28,2026-03-01,60,683000,812770,"3,9",pagada con atraso,13660,1
F-0015,69.009.168-2,Transportes Araucanía,pyme,Antofagasta,M. Fuentes,baja,2025-07-15,2025-08-14,2025-08-21,30,2977000,3542630,"6,6",pagada con atraso,59540,7
F-0196,61.842.713-7,Distribuidora Central,pyme,Metropolitana,C. Peña,media,2025-12-06,2026-01-05,2026-01-18,30,726000,863940,"3,9",pagada con atraso,14520,13
F-0245,69.955.817-6,Transportes Araucanía,corporativo,Metropolitana,J. Salas,alta,2025-07-23,2025-08-22,2025-08-22,30,300000,357000,"6,6",pagada al día,0,0
F-0071,73.396.278-K,Servicios Central,corporativo,Metropolitana,C. Peña,media,2025-04-23,2025-05-23,2025-05-23,30,233000,277270,"6,2",pagada al día,0,0
F-0235,75.161.724-0,Transportes Andes,corporativo,Valparaíso,A. Rojas,alta,2025-06-17,2025-08-16,2025-08-24,60,1505000,1790950,"4,2",pagada con atraso,30100,8
F-0508,75.222.742-K,Servicios Cordillera,pyme,Metropolitana,M. Fuentes,media,2025-12-26,2026-01-25,2026-02-13,30,94000,111860,"3,9",pagada con atraso,1880,19
F-0154,68.868.260-6,Comercial Andes,gobierno,Metropolitana,P. Vergara,baja,2025-03-18,2025-06-16,2025-06-16,90,925000,1100750,"5,7",pagada al día,0,0
F-0149,67.415.938-2,Comercial Central,pyme,Metropolitana,J. Salas,baja,2025-10-12,2026-01-10,2026-01-10,90,815000,969850,"3,5",pagada al día,0,0
F-0083,68.660.271-0,Constructora Central,gobierno,Metropolitana,A. Rojas,alta,2025-04-21,2025-06-20,2025-07-22,60,1704000,2027760,"6,2",en gestión judicial,34080,32
F-0495,68.217.000-K,Transportes Andes,pyme,Antofagasta,M. Fuentes,baja,2025-11-19,2025-12-19,2025-12-31,30,2175000,2588250,"5,7",pagada con atraso,43500,12
F-0232,64.538.186-6,Distribuidora Cordillera,corporativo,Los Lagos,C. Peña,media,2025-11-08,2025-12-08,2025-12-12,30,415000,493850,"5,7",pagada con atraso,8300,4
F-0014,61.883.540-5,Distribuidora Norte Grande,pyme,Metropolitana,M. Fuentes,alta,2025-10-22,2026-01-20,2026-01-30,90,276000,328440,"3,5",pagada con atraso,5520,10
F-0269,74.010.432-2,Ingeniería Aconcagua,corporativo,Valparaíso,M. Fuentes,alta,2025-11-11,2026-02-09,2026-02-10,90,827,984,"5,7",pagada con atraso,16540,1
F-0030,60.876.074-1,Transportes del Sur,pyme,Valparaíso,M. Fuentes,media,2025-08-06,2025-10-05,2025-10-15,60,888000,1056720,"6,1",pagada con atraso,17760,10
F-0518,68.868.260-6,Comercial Andes,gobierno,Metropolitana,P. Vergara,media,2025-04-22,2025-07-21,2025-08-02,90,1394000,1658860,"6,2",pagada con atraso,27880,12
F-0212,79.413.925-3,Servicios Aconcagua,corporativo,Los Lagos,M. Fuentes,baja,2025-01-05,2025-03-06,2025-03-12,60,645000,767550,"5,5",pagada con atraso,12900,6
F-0025,61.358.397-1,Servicios Cordillera,gobierno,Valparaíso,M. Fuentes,baja,2025-03-10,2025-04-09,2025-05-05,30,1836000,2184840,"5,7",pagada con atraso,36720,26
F-0166,73.558.357-3,Distribuidora Pacífico,gobierno,Biobío,A. Rojas,media,2025-11-12,2025-12-12,2026-01-08,30,1067000,1269730,"5,7",pagada con atraso,21340,27
F-0571,61.718.906-2,Constructora del Sur,corporativo,Metropolitana,A. Rojas,media,2025-03-10,2025-04-09,2025-04-23,30,764000,909160,"5,7",pagada con atraso,15280,14
F-0504,72.877.266-2,Transportes Cordillera,pyme,Los Lagos,P. Vergara,alta,2025-11-17,2025-12-17,2025-12-30,30,626000,744940,"5,7",pagada con atraso,12520,13
F-0141,66.516.501-9,Distribuidora Araucanía,corporativo,Biobío,C. Peña,media,2025-10-16,2025-11-15,2025-11-16,30,3954000,4705260,"3,5",pagada con atraso,79080,1
F-0276,75.721.234-K,Servicios Norte Grande,corporativo,Antofagasta,P. Vergara,media,2025-03-03,2025-04-02,2025-04-02,30,517000,615230,"5,7",pagada al día,0,0
F-0185,61.842.713-7,Distribuidora Central,pyme,Metropolitana,C. Peña,alta,2025-08-07,2025-09-06,2025-09-06,30,788000,937720,"6,1",pagada al día,0,0
F-0236,70.908.553-0,Servicios Aconcagua,pyme,Valparaíso,C. Peña,baja,2025-03-02,2025-04-01,2025-04-14,30,1058000,1259020,"5,7",pagada con atraso,21160,13
F-0409,75.479.059-8,Distribuidora Central,pyme,Valparaíso,A. Rojas,media,2025-06-12,2025-07-12,2025-07-25,30,1264000,1504160,"4,2",pagada con atraso,25280,13
F-0077,66.516.501-9,Distribuidora Araucanía,corporativo,Biobío,C. Peña,media,2025-08-15,2025-09-14,2025-09-14,30,840000,999600,"6,1",pagada al día,0,0
F-0557,72.877.266-2,Transportes Cordillera,pyme,Los Lagos,P. Vergara,baja,2025-03-27,2025-04-26,2025-04-26,30,643000,765170,"5,7",pagada al día,0,0
F-0064,68.868.260-6,Comercial Andes,gobierno,Metropolitana,P. Vergara,baja,2025-11-24,2025-12-24,2026-01-19,30,390000,464100,"5,7",pagada con atraso,7800,26
F-0275,79.512.378-4,Distribuidora Araucanía,pyme,Metropolitana,P. Vergara,media,2025-09-14,2025-10-14,2025-10-14,30,165000,196350,"3,1",pagada al día,0,0
F-0073,61.785.011-7,Comercial Central,pyme,Antofagasta,C. Peña,baja,2025-12-26,2026-01-25,2026-01-25,30,579000,689010,"3,9",pagada al día,0,0
F-0453,66.603.925-4,Ingeniería Andes,pyme,Metropolitana,J. Salas,alta,2025-05-14,2025-07-13,2025-07-24,60,714000,849660,"5,9",pagada con atraso,14280,11
F-0079,69.514.095-9,Distribuidora Aconcagua,corporativo,Metropolitana,J. Salas,media,2025-01-11,2025-02-10,2025-02-10,30,2155000,2564450,"5,5",pagada al día,0,0
F-0573,67.415.938-2,Comercial Central,pyme,Metropolitana,J. Salas,baja,2025-11-17,2025-12-17,2025-12-17,30,729000,867510,"5,7",pagada al día,0,0
F-0354,79.512.378-4,Distribuidora Araucanía,pyme,Metropolitana,P. Vergara,media,2025-10-05,2025-11-04,2025-11-11,30,269000,320110,"3,5",pagada con atraso,5380,7
F-0382,76.794.911-1,Comercial Norte Grande,corporativo,Valparaíso,A. Rojas,media,2025-03-07,2025-05-06,2025-05-06,60,1474000,1754060,"5,7",pagada al día,0,0
F-0369,72.877.266-2,Transportes Cordillera,pyme,Los Lagos,P. Vergara,baja,2025-12-09,2026-01-08,2026-01-21,30,205000,243950,"3,9",pagada con atraso,4100,13
F-0549,75.567.645-4,Ingeniería Araucanía,pyme,Metropolitana,C. Peña,baja,2025-01-12,2025-02-11,2025-02-28,30,983000,1169770,"5,5",pagada con atraso,19660,17
F-0312,68.777.534-1,Transportes Pacífico,gobierno,Metropolitana,P. Vergara,baja,2025-11-24,2025-12-24,2026-01-26,30,689000,819910,"5,7",en gestión judicial,13780,33
F-0007,61.785.011-7,Comercial Central,pyme,Antofagasta,C. Peña,baja,2025-09-06,2025-12-05,2025-12-17,90,1622000,1930180,"3,1",pagada con atraso,32440,12
F-0332,62.562.264-6,Servicios Aconcagua,pyme,Metropolitana,A. Rojas,media,2025-01-08,2025-03-09,2025-03-16,60,785000,934150,"5,5",pagada con atraso,15700,7
F-0370,67.409.188-5,Comercial Central,pyme,Antofagasta,J. Salas,baja,2025-02-05,2025-03-07,2025-03-18,30,992000,1180480,"2,7",pagada con atraso,19840,11
F-0482,68.048.265-9,Distribuidora Andes,pyme,Antofagasta,C. Peña,media,2025-06-21,2025-07-21,2025-07-29,30,401000,477190,"4,2",pagada con atraso,8020,8
F-0376,69.334.407-7,Servicios Norte Grande,corporativo,Valparaíso,C. Peña,media,2025-09-07,2025-11-06,2025-11-06,60,427000,508130,"3,1",pagada al día,0,0
F-0405,76.455.187-7,Ingeniería Aconcagua,pyme,Valparaíso,C. Peña,baja,2025-07-15,2025-08-14,2025-09-02,30,633000,753270,"6,6",pagada con atraso,12660,19
F-0087,73.947.308-K,Transportes Central,pyme,Metropolitana,P. Vergara,media,2025-05-08,2025-06-07,2025-06-22,30,966000,1149540,"5,9",pagada con atraso,19320,15
F-0111,74.010.432-2,Ingeniería Aconcagua,corporativo,Valparaíso,M. Fuentes,baja,2025-06-22,2025-08-21,2025-08-22,60,264000,314160,"4,2",pagada con atraso,5280,1
F-0266,72.877.266-2,Transportes Cordillera,pyme,Los Lagos,P. Vergara,alta,2025-04-27,2025-06-26,2025-07-11,60,1639000,1950410,"6,2",pagada con atraso,32780,15
F-0483,75.222.742-K,Servicios Cordillera,pyme,Metropolitana,M. Fuentes,media,2025-06-16,2025-07-16,2025-08-05,30,914000,1087660,"4,2",pagada con atraso,18280,20
F-0368,61.276.342-9,Ingeniería Norte Grande,pyme,Los Lagos,C. Peña,media,2025-05-30,2025-06-29,2025-07-19,30,767000,912730,"5,9",pagada con atraso,15340,20
F-0182,63.789.425-0,Distribuidora Araucanía,pyme,Valparaíso,C. Peña,media,2025-04-06,2025-06-05,2025-06-05,60,456000,542640,"6,2",pagada al día,0,0
F-0146,79.413.925-3,Servicios Aconcagua,corporativo,Los Lagos,M. Fuentes,media,2025-02-11,2025-04-12,2025-04-12,60,392,466,"2,7",pagada al día,0,0
F-0501,76.552.587-K,Transportes Pacífico,pyme,Metropolitana,J. Salas,baja,2025-04-25,2025-06-24,2025-07-13,60,667000,793730,"6,2",pagada con atraso,13340,19
F-0481,64.544.763-8,Distribuidora Araucanía,pyme,Valparaíso,J. Salas,media,2025-01-22,2025-02-21,2025-03-15,30,470000,559300,"5,5",pagada con atraso,9400,22
F-0074,74.895.228-4,Transportes Pacífico,pyme,Metropolitana,A. Rojas,baja,2025-09-29,2025-12-28,2025-12-28,90,382000,454580,"3,1",pagada al día,0,0
F-0040,73.558.357-3,Distribuidora Pacífico,gobierno,Biobío,M. Fuentes,baja,2025-05-14,2025-06-13,2025-07-17,30,592000,704480,"5,9",en gestión judicial,11840,34
F-0534,61.358.397-1,Servicios Cordillera,gobierno,Valparaíso,A. Rojas,baja,2025-03-01,2025-04-30,2025-05-28,60,5627000,6696130,"5,7",pagada con atraso,112540,28
F-0442,75.913.590-3,Constructora Andes,pyme,Antofagasta,P. Vergara,baja,2025-05-30,2025-06-29,2025-07-11,30,408000,485520,"5,9",pagada con atraso,8160,12
F-0067,70.931.376-2,Distribuidora Andes,pyme,Metropolitana,P. Vergara,media,2025-07-25,2025-10-23,2025-11-05,90,114000,135660,"6,6",pagada con atraso,2280,13
F-0018,63.650.981-7,Comercial Central,pyme,Metropolitana,M. Fuentes,media,2025-04-19,2025-05-19,2025-05-19,30,186000,221340,"6,2",pagada al día,0,0
F-0136,76.455.187-7,Ingeniería Aconcagua,pyme,Valparaíso,C. Peña,baja,2025-01-25,2025-02-24,2025-03-09,30,204000,242760,"5,5",pagada con atraso,4080,13
F-0249,75.631.304-5,Transportes Pacífico,pyme,Metropolitana,J. Salas,media,2025-11-29,2025-12-29,2025-12-29,30,332000,395080,"5,7",pagada al día,0,0
F-0559,78.110.701-8,Constructora del Sur,pyme,Antofagasta,J. Salas,baja,2025-09-23,2025-10-23,2025-11-13,30,131000,155890,"3,1",pagada con atraso,2620,21
F-0061,64.544.763-8,Distribuidora Araucanía,pyme,Valparaíso,J. Salas,baja,2025-12-24,2026-02-22,2026-02-22,60,1611000,1917090,"3,9",pagada al día,0,0
F-0110,70.931.376-2,Distribuidora Andes,pyme,Metropolitana,P. Vergara,baja,2025-10-15,2025-11-14,2025-11-14,30,1481000,1762390,"3,5",pagada al día,0,0
F-0427,79.512.378-4,Distribuidora Araucanía,pyme,Metropolitana,P. Vergara,baja,2025-12-27,2026-02-25,2026-02-25,60,375000,446250,"3,9",pagada al día,0,0
F-0287,73.660.964-9,Ingeniería Pacífico,corporativo,Metropolitana,C. Peña,alta,2025-02-24,2025-04-25,2025-05-11,60,944000,1123360,"2,7",pagada con atraso,18880,16
F-0551,62.562.264-6,Servicios Aconcagua,pyme,Metropolitana,A. Rojas,media,2025-01-17,2025-02-16,2025-02-16,30,511000,608090,"5,5",pagada al día,0,0
F-0012,75.197.965-7,Distribuidora Cordillera,corporativo,Valparaíso,A. Rojas,alta,2025-09-20,2025-10-20,2025-10-21,30,832000,990080,"3,1",pagada con atraso,16640,1
F-0383,75.631.304-5,Transportes Pacífico,pyme,Metropolitana,J. Salas,media,2025-09-07,2025-10-07,2025-10-19,30,1037000,1234030,"3,1",pagada con atraso,20740,12
F-0084,75.631.304-5,Transportes Pacífico,pyme,Metropolitana,J. Salas,media,2025-04-29,2025-06-28,2025-07-11,60,227000,270130,"6,2",pagada con atraso,4540,13
F-0091,63.789.425-0,Distribuidora Araucanía,pyme,Valparaíso,C. Peña,alta,2025-01-24,2025-03-25,2025-03-25,60,819000,974610,"5,5",pagada al día,0,0
F-0282,73.558.357-3,Distribuidora Pacífico,gobierno,Biobío,A. Rojas,media,2025-09-27,2025-10-27,2025-11-26,30,920000,1094800,"3,1",pagada con atraso,18400,30
F-0542,75.631.304-5,Transportes Pacífico,pyme,Metropolitana,J. Salas,media,2025-04-19,2025-07-18,2025-07-31,90,2402000,2858380,"6,2",pagada con atraso,48040,13
F-0531,74.010.432-2,Ingeniería Aconcagua,corporativo,Valparaíso,M. Fuentes,media,2025-01-31,2025-03-02,2025-03-02,30,1173000,1395870,"5,5",pagada al día,0,0
F-0530,75.222.742-K,Servicios Cordillera,pyme,Metropolitana,M. Fuentes,baja,2025-03-03,2025-04-02,2025-04-02,30,284000,337960,"5,7",pagada al día,0,0
F-0119,71.091.669-1,Ingeniería Aconcagua,gobierno,Biobío,P. Vergara,baja,2025-04-28,2025-06-27,2025-08-05,60,664000,790160,"6,2",en gestión judicial,13280,39
F-0080,67.415.938-2,Comercial Central,pyme,Metropolitana,J. Salas,baja,2025-04-20,2025-05-20,2025-06-06,30,296000,352240,"6,2",pagada con atraso,5920,17
F-0024,70.529.542-5,Comercial del Sur,corporativo,Antofagasta,J. Salas,baja,2025-07-30,2025-08-29,2025-08-31,30,610000,725900,"6,6",pagada con atraso,12200,2
F-0562,74.714.996-8,Constructora Andes,pyme,Valparaíso,A. Rojas,media,2025-04-08,2025-05-08,2025-05-25,30,882000,1049580,"6,2",pagada con atraso,17640,17
F-0288,69.007.690-K,Distribuidora Pacífico,corporativo,Metropolitana,J. Salas,media,2025-08-06,2025-09-05,2025-09-05,30,660000,785400,"6,1",pagada al día,0,0
F-0323,75.197.965-7,Distribuidora Cordillera,corporativo,Valparaíso,A. Rojas,baja,2025-06-13,2025-07-13,2025-07-21,30,1276000,1518440,"4,2",pagada con atraso,25520,8
F-0133,66.516.501-9,Distribuidora Araucanía,corporativo,Biobío,C. Peña,alta,2025-01-20,2025-02-19,2025-03-04,30,987000,1174530,"5,5",pagada con atraso,19740,13
F-0175,74.714.996-8,Constructora Andes,pyme,Valparaíso,A. Rojas,media,2025-05-31,2025-08-29,2025-09-23,90,259000,308210,"5,9",pagada con atraso,5180,25
F-0339,75.197.965-7,Distribuidora Cordillera,corporativo,Valparaíso,A. Rojas,media,2025-11-03,2026-01-02,2026-01-16,60,886000,1054340,"5,7",pagada con atraso,17720,14
F-0178,69.258.807-K,Distribuidora Araucanía,pyme,Valparaíso,J. Salas,baja,2025-10-13,2025-11-12,2025-11-12,30,3917000,4661230,"3,5",pagada al día,0,0
F-0159,73.947.308-K,Transportes Central,pyme,Metropolitana,P. Vergara,baja,2025-03-26,2025-04-25,2025-04-25,30,383000,455770,"5,7",pagada al día,0,0
F-0138,69.258.807-K,Distribuidora Araucanía,pyme,Valparaíso,J. Salas,baja,2025-06-16,2025-08-15,2025-08-28,60,176000,209440,"4,2",pagada con atraso,3520,13
F-0397,61.276.342-9,Ingeniería Norte Grande,pyme,Los Lagos,C. Peña,alta,2025-08-25,2025-09-24,2025-10-18,30,416000,495040,"6,1",pagada con atraso,8320,24
F-0010,72.877.266-2,Transportes Cordillera,pyme,Los Lagos,M. Fuentes,baja,2025-05-06,2025-06-05,2025-06-16,30,1049000,1248310,"5,9",pagada con atraso,20980,11
F-0572,73.660.964-9,Ingeniería Pacífico,corporativo,Metropolitana,C. Peña,baja,2025-04-01,2025-05-01,2025-05-13,30,1058000,1259020,"6,2",pagada con atraso,21160,12
F-0576,68.660.271-0,Constructora Central,gobierno,Metropolitana,A. Rojas,baja,2025-11-07,2025-12-07,2026-01-02,30,1189000,1414910,"5,7",pagada con atraso,23780,26
F-0305,70.007.007-7,Servicios del Sur,gobierno,Valparaíso,C. Peña,alta,2025-07-22,2025-08-21,2025-09-18,30,341000,405790,"6,6",pagada con atraso,6820,28
F-0599,67.415.938-2,Comercial Central,pyme,Metropolitana,J. Salas,media,2025-06-15,2025-08-14,2025-09-01,60,776000,923440,"4,2",pagada con atraso,15520,18
F-0248,69.514.095-9,Distribuidora Aconcagua,corporativo,Metropolitana,J. Salas,baja,2025-08-09,2025-09-08,2025-09-08,30,1241000,1476790,"6,1",pagada al día,0,0
F-0085,74.714.996-8,Constructora Andes,pyme,Valparaíso,A. Rojas,baja,2025-03-07,2025-04-06,2025-04-17,30,522000,621180,"5,7",pagada con atraso,10440,11
F-0189,62.562.264-6,Servicios Aconcagua,pyme,Metropolitana,A. Rojas,media,2025-11-12,2025-12-12,2025-12-25,30,1424000,1694560,"5,7",pagada con atraso,28480,13
F-0200,75.721.234-K,Servicios Norte Grande,corporativo,Antofagasta,P. Vergara,baja,2025-06-18,2025-08-17,2025-08-17,60,242000,287980,"4,2",pagada al día,0,0
F-0210,73.729.559-1,Transportes del Sur,pyme,Metropolitana,C. Peña,baja,2025-12-02,2026-01-01,2026-01-20,30,679000,808010,"3,9",pagada con atraso,13580,19
F-0006,68.868.260-6,Comercial Andes  S.A.,gobierno,Metropolitana,M. Fuentes,baja,2025-03-11,2025-04-10,2025-05-10,30,1482000,1763580,"5,7",pagada con atraso,29640,30
F-0487,68.660.271-0,Constructora Central,gobierno,Metropolitana,A. Rojas,baja,2025-01-05,2025-04-05,2025-04-18,90,615000,731850,"5,5",pagada con atraso,12300,13
F-0183,69.391.110-9,Comercial Andes,gobierno,Metropolitana,J. Salas,media,2025-03-26,2025-05-25,2025-05-25,60,734000,873460,"5,7",pagada al día,0,0
F-0076,74.867.501-9,Transportes Cordillera,pyme,Metropolitana,M. Fuentes,media,2025-08-05,2025-10-04,2025-10-04,60,927000,1103130,"6,1",pagada al día,0,0
F-0093,67.090.505-5,Transportes Aconcagua,corporativo,Antofagasta,A. Rojas,media,2025-04-03,2025-05-03,2025-05-13,30,639000,760410,"6,2",pagada con atraso,12780,10
F-0303,62.598.429-7,Servicios Andes,pyme,Metropolitana,C. Peña,baja,2025-12-04,2026-01-03,2026-01-16,30,1650000,1963500,"3,9",pagada con atraso,33000,13
F-0069,73.947.308-K,Transportes Central,pyme,Metropolitana,P. Vergara,baja,2025-11-22,2026-01-21,2026-01-21,60,315000,374850,"5,7",pagada al día,0,0
F-0016,77.165.787-7,Distribuidora Pacífico,corporativo,Metropolitana,M. Fuentes,media,2025-12-31,2026-03-01,2026-03-01,60,321000,381990,"3,9",pagada al día,0,0
F-0569,67.332.846-6,Distribuidora Norte Grande,pyme,Metropolitana,P. Vergara,media,2025-01-24,2025-02-23,2025-02-23,30,412000,490280,"5,5",pagada al día,0,0
