id_cliente,edad,nivel_educacion,limite_credito,monto_facturado_mes,monto_pagado_mes,meses_mora,incumplio_pago
C-0079,44,media,130000,15722,0,0,no
C-0080,33,posgrado,150000,74033,237,0,no
C-0081,49,universitaria,30000,2273,2000,0,si
C-0082,46,universitaria,360000,361863,0,1,no
C-0083,46,posgrado,130000,110766,6000,0,si
C-0084,44,posgrado,240000,188307,6600,0,no
C-0085,23,posgrado,160000,151246,10517,0,no
C-0086,33,posgrado,150000,0,0,1,no
C-0087,34,universitaria,170000,2806,652,0,si
C-0088,38,universitaria,50000,51047,1849,0,no
C-0089,37,universitaria,140000,10025,2000,0,no
C-0090,44,posgrado,320000,7500,8500,0,no
C-0091,26,posgrado,150000,75373,3300,2,si
C-0092,36,universitaria,290000,754,0,0,no
C-0093,48,posgrado,360000,2119,3,0,no
C-0094,37,posgrado,200000,446,0,0,si
C-0095,33,media,110000,7128,0,1,si
C-0096,32,universitaria,500000,10339,6405,0,no
C-0097,36,posgrado,230000,218637,10034,0,no
C-0098,33,universitaria,20000,18075,1600,2,si
C-0099,50,universitaria,50000,20800,0,0,no
C-0100,34,universitaria,240000,6170,0,0,no
C-0101,23,media,140000,100448,5450,0,no
C-0102,40,universitaria,20000,15919,1570,1,no
C-0103,28,posgrado,80000,8598,9467,0,si
C-0104,40,universitaria,300000,15876,4347,0,no
C-0105,36,universitaria,90000,91458,3137,0,no
C-0106,27,posgrado,180000,99137,22500,0,no
C-0107,40,universitaria,250000,2348,329,0,no
C-0108,41,posgrado,110000,150,0,2,no
C-0109,36,universitaria,200000,1070,4107,0,no
C-0110,27,posgrado,120000,0,0,1,si
C-0111,27,universitaria,270000,144376,6000,0,no
C-0112,36,universitaria,200000,99483,4841,0,si
C-0113,42,universitaria,360000,429169,16629,0,no
C-0114,43,media,50000,7978,3887,0,no
C-0115,43,posgrado,500000,141323,5000,0,no
C-0116,60,posgrado,170000,170359,11700,0,si
C-0117,23,universitaria,50000,48025,2122,0,no
C-0118,23,universitaria,100000,8002,2000,0,no
C-0119,54,universitaria,110000,316,316,0,no
C-0120,23,posgrado,50000,0,0,1,no
C-0121,36,universitaria,500000,21368,4066,0,no
C-0122,23,otra,90000,40145,2000,0,si
C-0123,36,universitaria,150000,70001,2500,0,no
C-0124,30,media,230000,1873,1500,0,si
C-0125,25,posgrado,20000,20052,1500,0,no
C-0126,23,posgrado,50000,15512,2552,0,no
C-0127,32,posgrado,100000,95794,4000,1,no
C-0128,53,posgrado,20000,13605,1249,0,no
C-0129,44,posgrado,150000,27270,0,1,si
C-0130,27,universitaria,100000,390,4780,0,no
C-0131,36,posgrado,230000,878,9574,0,si
C-0132,35,media,110000,67591,3200,2,si
C-0133,32,posgrado,150000,52582,6395,0,si
C-0134,39,posgrado,20000,10968,2000,1,si
C-0135,30,posgrado,500000,17144,3678,1,no
C-0136,42,universitaria,360000,44380,968,0,no
C-0137,48,universitaria,210000,11876,11876,0,no
C-0138,28,posgrado,20000,10631,0,1,no
C-0139,42,universitaria,20000,18464,1600,3,si
C-0140,29,universitaria,60000,4603,0,0,no
C-0141,24,posgrado,30000,3055,18407,0,no
C-0142,32,posgrado,140000,0,0,1,no
C-0143,25,posgrado,120000,0,0,1,si
C-0144,24,posgrado,50000,12806,7522,0,si
C-0145,70,posgrado,130000,0,0,1,si
C-0146,36,universitaria,90000,685,0,0,si
C-0147,45,universitaria,30000,30488,1600,0,si
C-0148,34,posgrado,110000,110712,4112,0,no
C-0149,28,posgrado,130000,92174,4086,0,no
C-0150,56,posgrado,290000,222000,10013,0,no
C-0151,22,posgrado,20000,10003,4211,0,no
C-0152,30,universitaria,30000,30562,0,4,no
C-0153,29,universitaria,420000,56255,71536,0,no
C-0154,29,posgrado,110000,3261,1380,0,no
C-0155,35,posgrado,30000,27703,1500,2,si
C-0156,28,universitaria,30000,26054,2000,0,no
C-0157,29,universitaria,50000,1303,801,0,no
C-0158,42,posgrado,160000,0,0,0,no
C-0159,43,media,50000,10413,3000,2,no
C-0160,34,universitaria,470000,247503,9024,0,no
C-0161,45,posgrado,420000,-34,2686,1,no
C-0162,28,universitaria,130000,88549,2709,0,no
C-0163,31,universitaria,270000,0,1521,0,no
C-0164,28,universitaria,170000,105509,4285,0,no
C-0165,25,universitaria,30000,30347,0,1,no
C-0166,35,universitaria,150000,144194,6600,2,si
C-0167,39,universitaria,20000,15972,1500,0,si
C-0168,31,universitaria,360000,0,0,1,no
C-0169,32,universitaria,210000,155913,13000,0,no
C-0170,35,media,20000,15791,3000,0,si
C-0171,34,universitaria,170000,8069,2855,0,si
C-0172,32,universitaria,500000,71731,25487,0,no
C-0173,46,media,150000,96396,4073,0,no
C-0174,34,universitaria,400000,14986,25772,0,no
C-0175,32,posgrado,300000,10566,1200,1,no
C-0176,29,universitaria,130000,172094,0,2,no
C-0177,36,universitaria,200000,694,2721,0,si
C-0178,24,posgrado,20000,3395,2296,0,si
C-0179,47,posgrado,280000,257561,20000,0,no
C-0180,29,otra,240000,219419,7000,0,no
C-0181,24,universitaria,80000,1462,1502,0,no
C-0182,29,posgrado,430000,67336,3261,0,no
C-0183,29,universitaria,280000,233717,10004,0,no
C-0184,53,universitaria,50000,7343,1139,0,no
C-0185,25,universitaria,30000,26623,1800,1,si
C-0186,43,media,130000,74020,5000,0,no
C-0187,25,posgrado,150000,129911,12200,0,si
C-0188,42,posgrado,250000,249406,11400,0,no
C-0189,48,media,50000,10420,1310,0,no
C-0190,38,media,50000,50174,3000,0,no
C-0191,36,universitaria,230000,19505,3000,0,no
C-0192,31,posgrado,90000,63872,5003,0,no
C-0193,39,universitaria,50000,42822,2000,0,no
C-0194,28,universitaria,100000,95251,5401,0,no
C-0195,43,media,180000,1473,22969,0,no
C-0196,29,universitaria,50000,23236,1660,0,no
C-0197,37,universitaria,130000,67612,0,1,si
C-0198,46,posgrado,450000,28205,3793,0,si
C-0199,62,media,160000,37615,1700,0,no
C-0200,26,universitaria,80000,11284,1500,0,no
C-0201,34,universitaria,500000,60278,1745,0,no
C-0202,47,universitaria,20000,8424,0,0,no
C-0203,53,universitaria,70000,24645,0,0,no
C-0204,58,media,360000,1351,554,0,no
C-0205,53,posgrado,260000,0,990,1,si
C-0206,29,posgrado,360000,12018,32038,0,no
C-0207,30,universitaria,20000,19149,1392,0,no
C-0208,53,media,120000,66963,3500,2,si
C-0209,31,otra,150000,136692,2000,0,no
C-0210,35,posgrado,140000,142119,6000,0,no
C-0211,48,universitaria,270000,53624,15018,2,si
C-0212,47,media,20000,8152,1125,0,no
C-0213,41,posgrado,500000,564757,19850,2,si
C-0214,33,universitaria,80000,53843,3500,2,no
C-0215,24,universitaria,150000,1563,5689,0,no
C-0216,30,posgrado,160000,6548,7,0,no
C-0217,29,universitaria,260000,56380,4121,0,no
C-0218,34,posgrado,200000,1571,0,3,si
C-0219,36,posgrado,230000,0,0,1,no
C-0220,59,posgrado,300000,2500,0,0,no
C-0221,45,universitaria,260000,3814,2861,0,no
C-0222,40,posgrado,70000,12026,2000,1,no
C-0223,37,universitaria,20000,17312,1500,0,si
C-0224,57,media,130000,125824,4000,0,si
C-0225,38,universitaria,260000,8000,8000,0,no
C-0226,40,universitaria,70000,43045,2036,0,no
C-0227,43,media,30000,12603,1000,1,no
C-0228,37,universitaria,400000,7011,10000,0,no
C-0229,29,posgrado,20000,16330,0,3,si
C-0230,33,posgrado,70000,39416,2000,0,no
C-0231,48,posgrado,360000,8243,10752,0,no
C-0232,34,universitaria,200000,135654,66022,0,no
C-0233,34,universitaria,300000,1000,1000,0,si
C-0234,30,universitaria,280000,71770,4000,0,si
C-0235,31,universitaria,180000,130171,1110,0,no
C-0236,45,media,200000,97933,3200,0,no
C-0237,36,universitaria,20000,18400,0,0,si
C-0238,23,universitaria,30000,27141,3000,0,no
C-0239,42,universitaria,120000,94218,3415,0,no
C-0240,25,media,50000,6954,2161,0,no
C-0241,26,universitaria,50000,16919,1500,1,no
C-0242,31,universitaria,100000,21345,6363,0,no
C-0243,39,universitaria,70000,6056,1500,0,no
C-0244,46,media,30000,20143,0,1,no
C-0245,30,posgrado,250000,0,0,1,no
C-0246,42,posgrado,420000,155814,5397,0,no
C-0247,46,media,360000,0,0,0,no
C-0248,45,universitaria,410000,597,2329,0,no
C-0249,24,universitaria,20000,2004,1211,0,si
C-0250,35,posgrado,70000,77021,0,4,no
C-0251,39,posgrado,250000,1000,3629,0,no
C-0252,26,universitaria,210000,206714,7868,0,no
C-0253,54,media,50000,43099,2212,0,no
C-0254,30,posgrado,30000,29965,2000,0,no
C-0255,28,universitaria,180000,1206,661,0,no
C-0256,24,universitaria,30000,20069,1700,0,no
C-0257,27,posgrado,100000,2927,831,0,si
C-0258,30,media,230000,190919,7214,0,no
C-0259,55,media,80000,82567,3121,0,no
C-0260,44,posgrado,280000,146390,5111,0,no
C-0261,37,posgrado,340000,8480,21631,0,no
C-0262,26,universitaria,80000,68194,2000,0,no
C-0263,29,posgrado,240000,59,548,0,si
C-0264,35,universitaria,50000,0,1118,1,no
C-0265,31,posgrado,30000,28398,2081,0,no
C-0266,41,universitaria,180000,859,1811,0,si
C-0267,24,media,40000,39149,1658,2,si
C-0268,23,universitaria,30000,22517,2000,0,no
C-0269,29,posgrado,50000,1162,37719,0,no
C-0270,55,universitaria,50000,37984,3900,0,si
C-0271,28,posgrado,180000,2569,2834,0,no
C-0272,49,universitaria,50000,47649,2220,0,no
C-0273,58,media,10000,7569,1158,0,no
C-0274,36,universitaria,420000,185882,10000,0,no
C-0275,58,posgrado,20000,17241,1500,0,no
C-0276,25,posgrado,80000,48470,4700,0,si
C-0277,24,posgrado,100000,76831,4037,2,no
C-0278,27,universitaria,100000,96191,3504,0,si
C-0279,39,posgrado,200000,7475,15617,0,no
C-0280,34,posgrado,330000,21576,5002,0,no
C-0281,51,universitaria,30000,10874,1205,0,no
C-0282,50,universitaria,50000,19061,52498,0,no
C-0283,27,universitaria,20000,6599,3000,0,no
C-0284,25,universitaria,20000,150,0,2,no
C-0285,54,posgrado,450000,-237,0,1,no
C-0286,40,universitaria,20000,17761,4000,2,no
C-0287,35,universitaria,140000,140387,5509,0,no
C-0288,38,universitaria,20000,1442,1261,2,no
C-0289,48,posgrado,220000,2500,0,3,si
C-0290,39,universitaria,110000,210804,5426,0,no
C-0291,24,universitaria,60000,44238,4000,1,no
C-0292,52,posgrado,300000,0,0,1,no
C-0293,32,universitaria,130000,1496,1496,0,no
C-0294,58,posgrado,160000,0,0,1,no
C-0295,35,universitaria,320000,177391,8200,0,no
C-0296,48,universitaria,500000,39734,117243,0,no
C-0297,35,universitaria,210000,1338,1508,0,no
C-0298,46,otra,90000,77263,8333,0,no
C-0299,58,media,30000,26580,1800,2,si
C-0300,29,posgrado,200000,9585,1735,0,no
C-0301,23,universitaria,30000,28224,1800,2,si
C-0302,32,posgrado,360000,120533,6000,0,no
C-0303,45,otra,210000,2563,5854,0,no
C-0304,26,universitaria,300000,29300,1214,0,no
C-0305,34,universitaria,290000,58481,2000,0,no
C-0306,63,media,110000,390,390,0,si
C-0307,24,posgrado,50000,47734,1763,0,no
C-0308,30,posgrado,100000,92162,3800,2,no
C-0309,26,universitaria,80000,350,0,0,no
C-0310,29,posgrado,360000,109997,100000,0,no
C-0311,23,universitaria,30000,28108,0,1,no
C-0312,23,media,30000,27552,3605,0,no
C-0313,27,posgrado,30000,23575,1400,2,no
C-0314,25,universitaria,50000,2126,1513,0,no
C-0315,28,media,80000,63900,3000,0,si
C-0316,30,universitaria,30000,2400,0,3,si
C-0317,30,universitaria,120000,110612,5555,0,no
C-0318,30,posgrado,210000,7264,2000,0,no
C-0319,36,universitaria,190000,187972,8197,0,no
C-0320,42,universitaria,160000,152699,4462,1,si
C-0321,33,universitaria,280000,28928,1634,0,no
C-0322,31,posgrado,400000,72551,8657,0,no
C-0323,49,universitaria,10000,8671,1265,0,no
C-0324,46,media,190000,124245,4536,0,no
C-0325,36,universitaria,60000,60299,2000,0,si
C-0326,46,media,30000,29201,2000,1,si
C-0327,53,media,30000,17585,1600,2,si
C-0328,55,media,240000,216170,8000,0,no
C-0329,27,universitaria,280000,1566,2891,0,no
C-0330,28,posgrado,70000,19728,8000,0,no
C-0331,29,universitaria,200000,60068,2500,0,no
C-0332,29,posgrado,80000,79048,3000,0,no
C-0333,29,posgrado,60000,43434,2100,1,si
C-0334,32,universitaria,110000,42015,1575,0,no
C-0335,36,posgrado,170000,8433,644,0,no
C-0336,36,posgrado,50000,49750,2100,0,no
C-0337,28,posgrado,300000,788,1000,0,no
C-0338,25,universitaria,190000,26023,1615,0,no
C-0339,27,universitaria,150000,0,0,1,no
C-0340,26,universitaria,100000,6631,1130,0,no
C-0341,27,posgrado,90000,85822,3327,0,no
C-0342,29,posgrado,70000,40048,1700,0,no
C-0343,34,universitaria,50000,43664,2000,2,no
C-0344,36,media,500000,27866,1062,0,no
C-0345,36,universitaria,30000,11896,1600,0,no
C-0346,44,posgrado,80000,14686,3673,0,no
C-0347,45,universitaria,560000,374663,13195,0,si
C-0348,40,posgrado,200000,185696,0,2,si
C-0349,35,posgrado,110000,107905,4000,0,no
C-0350,30,media,80000,40654,2000,2,si
C-0351,33,universitaria,360000,11596,1058,0,no
C-0352,40,universitaria,80000,63340,6,1,no
C-0353,58,media,290000,68445,0,1,no
C-0354,50,media,370000,48303,124174,0,no
C-0355,58,media,140000,98985,4520,2,no
C-0356,26,posgrado,200000,196979,7800,2,si
C-0357,28,posgrado,170000,56061,2051,0,no
C-0358,29,posgrado,60000,816,2440,0,no
C-0359,27,universitaria,200000,189605,14635,2,si
C-0360,32,universitaria,70000,71336,3609,0,si
C-0361,38,posgrado,240000,6333,0,0,no
C-0362,33,universitaria,70000,26181,12000,1,no
C-0363,34,posgrado,450000,260733,20255,0,no
C-0364,42,universitaria,50000,49495,3000,0,no
C-0365,52,universitaria,50000,49854,2500,0,no
C-0366,55,universitaria,150000,1540,780,0,no
C-0367,23,posgrado,10000,7641,1262,0,no
C-0368,24,posgrado,90000,14085,0,2,si
C-0369,24,universitaria,110000,9787,5,1,no
C-0370,24,media,190000,54186,2000,0,no
C-0371,22,universitaria,50000,28544,1450,0,no
C-0372,25,posgrado,70000,37017,3900,0,si
C-0373,25,universitaria,250000,25823,1500,0,no
C-0374,27,universitaria,60000,54900,1971,0,si
C-0375,28,media,140000,800,7937,0,no
C-0376,26,universitaria,230000,18612,90523,0,no
C-0377,22,universitaria,30000,20439,1595,0,no
C-0378,27,universitaria,190000,3902,1000,2,si
C-0379,34,universitaria,70000,50488,2200,0,no
C-0380,28,universitaria,180000,300,500,0,no
C-0381,30,universitaria,120000,2680,14770,0,no
C-0382,23,universitaria,80000,68850,0,0,no
C-0383,32,media,70000,14180,3000,0,si
C-0384,32,media,210000,1406,0,0,no
C-0385,38,universitaria,240000,34752,30073,0,no
C-0386,45,universitaria,50000,48875,2080,0,no
C-0387,33,universitaria,210000,7655,1644,0,no
C-0388,39,universitaria,110000,93111,3226,0,no
C-0389,38,otra,500000,2252,2265,0,no
C-0390,30,posgrado,270000,81488,3000,0,no
C-0391,44,media,30000,26627,1452,2,si
C-0392,37,universitaria,140000,86858,5000,0,no
C-0393,47,universitaria,240000,27884,23610,0,no
C-0394,33,posgrado,420000,8117,20837,2,no
C-0395,45,universitaria,170000,169625,6081,0,no
C-0396,49,media,50000,48297,3000,2,si
C-0397,32,posgrado,60000,17992,0,1,si
C-0398,37,universitaria,390000,175363,5551,0,no
C-0399,42,universitaria,100000,91534,0,2,si
C-0400,32,universitaria,30000,29480,1431,0,si
C-0401,34,universitaria,240000,626,1921,0,no
C-0402,31,posgrado,200000,68244,6018,0,no
C-0403,36,posgrado,270000,16699,1800,0,no
C-0404,32,universitaria,240000,199789,9000,0,no
C-0405,42,universitaria,50000,20235,0,5,si
C-0406,44,universitaria,250000,23438,0,0,no
C-0407,50,posgrado,300000,22443,31175,0,no
C-0408,58,media,30000,24874,1500,0,no
C-0409,51,universitaria,50000,24202,1340,0,no
C-0410,50,posgrado,320000,1999,730,0,no
C-0411,52,universitaria,140000,850,12340,0,no
C-0412,53,posgrado,390000,611,0,0,no
C-0413,66,media,60000,47350,5000,0,no
C-0414,24,universitaria,20000,6962,1200,1,si
C-0415,28,posgrado,200000,2626,15954,0,no
C-0416,28,universitaria,20000,17429,0,2,si
C-0417,29,universitaria,110000,104968,4000,0,no
C-0418,34,media,50000,44036,4500,0,no
C-0419,41,universitaria,450000,1068,1287,0,no
C-0420,22,posgrado,20000,10591,0,1,no
C-0421,36,universitaria,360000,4671,929,0,no
C-0422,38,universitaria,200000,7400,1005,0,no
C-0423,33,posgrado,50000,40505,6930,0,no
C-0424,41,media,110000,53497,2510,0,no
C-0425,39,universitaria,280000,273651,11128,0,no
C-0426,44,posgrado,150000,4825,3018,0,no
C-0427,50,universitaria,50000,47053,1200,0,si
C-0428,60,media,20000,17495,0,1,no
C-0429,58,posgrado,300000,13620,5823,0,no
C-0430,24,universitaria,180000,8031,2009,0,si
C-0431,28,universitaria,120000,0,0,1,si
C-0432,22,universitaria,20000,18021,0,0,si
C-0433,25,posgrado,30000,26376,1550,0,no
C-0434,25,posgrado,70000,1288,0,0,no
C-0435,24,posgrado,60000,22504,1420,0,no
C-0436,24,media,50000,50162,0,1,no
C-0437,26,universitaria,120000,87151,3500,0,no
C-0438,24,media,50000,57396,2500,2,si
C-0439,25,posgrado,310000,140483,4000,0,no
C-0440,22,universitaria,30000,174,1995,2,no
C-0441,26,media,160000,390,390,0,no
C-0442,27,universitaria,330000,0,0,0,no
C-0443,27,universitaria,100000,42713,10000,0,no
C-0444,25,media,400000,12570,958,0,no
C-0445,28,posgrado,60000,20729,3016,0,no
C-0446,28,posgrado,80000,0,0,1,si
C-0447,25,universitaria,90000,27658,6708,0,no
C-0448,28,posgrado,230000,355,0,0,si
C-0449,32,media,30000,27395,2000,0,no
C-0450,27,posgrado,180000,101489,10006,0,no
C-0451,27,universitaria,60000,5087,2410,1,no
C-0452,26,posgrado,150000,136736,4486,0,no
C-0453,33,universitaria,180000,3490,0,0,no
C-0454,31,posgrado,360000,3429,33702,0,no
C-0455,31,posgrado,280000,0,0,0,si
C-0456,48,universitaria,180000,4498,0,0,no
C-0457,40,universitaria,70000,64744,2361,2,si
C-0458,31,posgrado,290000,82939,5017,0,no
C-0459,37,universitaria,20000,425,1629,0,no
C-0460,34,posgrado,230000,711,0,0,no
C-0461,40,universitaria,150000,8482,3514,0,no
C-0462,30,universitaria,70000,10705,50071,0,no
C-0463,32,posgrado,280000,137630,6000,0,no
C-0464,35,universitaria,290000,32485,10000,0,no
C-0465,34,universitaria,190000,-18,0,1,no
C-0466,42,universitaria,100000,63984,3000,0,no
C-0467,39,media,130000,91982,8900,0,si
C-0468,32,media,70000,70122,2431,0,no
C-0469,35,media,240000,0,0,0,si
C-0470,31,universitaria,210000,1154,1368,0,si
C-0471,31,posgrado,200000,0,950,0,no
C-0472,33,posgrado,120000,332,332,0,si
C-0473,32,posgrado,320000,13720,8015,0,no
C-0474,39,posgrado,160000,0,300,0,no
C-0475,44,media,210000,11771,13462,0,si
C-0476,38,media,230000,67810,1980,0,no
C-0477,39,posgrado,210000,5907,2637,0,no
C-0478,51,posgrado,240000,4302,546,0,no
C-0479,30,universitaria,230000,9125,4000,0,no
C-0480,30,posgrado,140000,1800,1885,0,no
C-0481,29,universitaria,360000,18454,6028,0,no
C-0482,32,universitaria,50000,15276,4800,0,si
C-0483,34,posgrado,260000,-40,0,0,no
C-0484,39,media,50000,39753,2000,0,si
C-0485,41,posgrado,160000,0,0,1,si
C-0486,46,universitaria,50000,1853,2000,0,no
C-0487,41,universitaria,140000,-10,0,0,no
C-0488,36,posgrado,30000,1772,9647,0,no
C-0489,40,posgrado,310000,-150,0,0,no
C-0490,35,universitaria,220000,210200,8000,0,si
C-0491,43,universitaria,20000,13817,1815,0,si
C-0492,40,universitaria,30000,25328,2000,0,no
C-0493,46,universitaria,410000,71532,3700,2,si
C-0494,39,posgrado,310000,16577,1361,0,no
C-0495,40,universitaria,340000,147943,5169,0,no
C-0496,47,universitaria,80000,68250,6325,2,si
C-0497,49,posgrado,480000,63701,0,0,no
C-0498,58,posgrado,500000,201013,8366,0,no
C-0499,49,media,130000,20678,1610,0,no
C-0500,50,otra,360000,4767,0,1,no
C-0501,51,posgrado,150000,149640,6000,0,no
C-0502,23,universitaria,30000,11284,1503,0,no
C-0503,22,media,20000,16063,1565,0,no
C-0504,25,universitaria,270000,38525,2000,0,no
C-0505,22,universitaria,30000,29449,1402,0,no
C-0506,24,universitaria,80000,19167,3000,0,no
C-0507,25,universitaria,250000,13358,6000,0,no
C-0508,28,posgrado,410000,210866,2444,0,no
C-0509,29,otra,210000,43933,2000,0,no
C-0510,31,media,70000,68174,3200,2,si
C-0511,27,universitaria,210000,83381,3100,0,no
C-0512,35,posgrado,360000,1475,14200,0,no
C-0513,43,media,130000,19690,0,2,si
C-0514,31,posgrado,240000,179483,8151,2,si
C-0515,33,universitaria,90000,27180,1405,0,si
C-0516,38,universitaria,50000,390,390,0,no
C-0517,33,universitaria,180000,4160,7817,0,no
C-0518,44,otra,180000,151538,6256,0,no
C-0519,40,universitaria,140000,98221,3600,0,no
C-0520,49,universitaria,160000,16982,4980,0,no
C-0521,32,media,200000,132436,4780,0,si
C-0522,39,universitaria,280000,123997,5600,0,no
C-0523,29,universitaria,100000,0,0,0,no
C-0524,40,universitaria,110000,111720,3406,0,si
C-0525,50,universitaria,70000,12857,1530,0,no
C-0526,51,media,380000,43715,60718,0,no
C-0527,50,universitaria,200000,411,453,0,no
C-0528,41,universitaria,20000,0,3793,1,no
C-0529,25,universitaria,50000,11669,1502,0,no
C-0530,24,posgrado,50000,31292,2000,0,no
C-0531,29,posgrado,220000,31012,0,1,si
C-0532,28,posgrado,380000,1294,1058,0,no
C-0533,29,universitaria,120000,579,3580,0,no
C-0534,37,media,20000,18629,21473,0,no
C-0535,41,universitaria,20000,16808,1301,0,no
C-0536,43,posgrado,500000,124362,4567,0,no
C-0537,33,universitaria,550000,-509,15,0,no
C-0538,35,universitaria,60000,9501,1500,2,si
C-0539,48,posgrado,190000,189158,6561,0,no
C-0540,33,posgrado,170000,2371,316,0,no
C-0541,31,posgrado,100000,20505,2700,1,no
C-0542,28,posgrado,60000,59114,2800,0,no
C-0543,33,media,20000,16247,0,1,no
C-0544,38,universitaria,80000,73171,5000,0,no
C-0545,39,universitaria,280000,1525,7430,0,no
C-0546,28,posgrado,390000,18891,6000,0,no
C-0547,43,universitaria,120000,3972,2816,0,no
C-0548,29,posgrado,400000,7622,39097,0,no
C-0549,24,universitaria,100000,53309,7500,0,no
C-0550,22,universitaria,50000,50180,2100,0,no
C-0551,22,universitaria,50000,47718,2106,0,no
C-0552,24,universitaria,240000,75830,1480,0,no
C-0553,26,posgrado,200000,2364,442,0,no
C-0554,44,media,10000,8678,0,5,si
C-0555,29,posgrado,210000,18662,6224,0,no
C-0556,48,universitaria,50000,44324,2000,0,no
C-0557,45,media,200000,69817,2049,0,no
C-0558,32,universitaria,80000,113740,0,1,si
C-0559,42,universitaria,20000,18162,900,2,si
C-0560,43,universitaria,230000,7075,1279,0,no
C-0561,31,media,20000,-885,20,0,no
C-0562,34,media,60000,6731,1300,2,no
C-0563,48,universitaria,200000,22111,11257,0,si
C-0564,42,universitaria,430000,38495,11935,0,no
C-0565,30,otra,260000,5106,280,0,no
C-0566,39,media,360000,0,0,1,no
C-0567,44,media,200000,390,390,0,no
C-0568,30,posgrado,180000,7808,1198,0,no
C-0569,33,media,100000,74847,3000,0,no
C-0570,39,otra,200000,20218,25267,0,no
C-0571,31,universitaria,240000,184,0,0,no
C-0572,46,posgrado,60000,16017,22000,0,no
C-0573,39,media,60000,31011,0,1,no
C-0574,34,universitaria,180000,41699,1800,0,no
C-0575,33,posgrado,240000,99938,3500,0,no
